010F, INTAKE_TEMP, 23 degC, 0.247012853622
010E, TIMING_ADVANCE, 22.5 degree, 0.499055862427
0109, LONG_FUEL_TRIM_2, 2.34375 percent, 0.748655796051
0107, LONG_FUEL_TRIM_1, 2.34375 percent, 0.848914861679
0110, MAF, 13.92 gps, 0.949219942093
0104, ENGINE_LOAD, 5.49019607843 percent, 1.04895687103
010B, INTAKE_PRESSURE, 44 kilopascal, 1.14907002449
0105, COOLANT_TEMP, 90 degC, 1.24703788757
0111, THROTTLE_POS, 13.7254901961 percent, 1.34881901741
0118, O2_B2S1, 0.335 volt, 1.44916296005
0119, O2_B2S2, 0.1 volt, 1.54886293411
010D, SPEED, 9 kph, 1.64892792702
011E, AUX_INPUT_STATUS, False, 1.74879288673
0106, SHORT_FUEL_TRIM_1, 5.46875 percent, 1.84901094437
0108, SHORT_FUEL_TRIM_2, -1.5625 percent, 1.92423701286
010C, RPM, 1094.75 revolutions_per_minute, 2.02414894104
0115, O2_B1S2, 0.02 volt, 2.12402701378
0114, O2_B1S1, 0.86 volt, 2.22425794601
010F, INTAKE_TEMP, 23 degC, 2.27931499481
010E, TIMING_ADVANCE, 32.0 degree, 2.3293390274
0109, LONG_FUEL_TRIM_2, 3.125 percent, 2.38023281097
0107, LONG_FUEL_TRIM_1, 2.34375 percent, 2.42933893204
0110, MAF, 18.7 gps, 2.47937893867
0104, ENGINE_LOAD, 7.45098039216 percent, 2.52939987183
010B, INTAKE_PRESSURE, 45 kilopascal, 2.57911682129
0105, COOLANT_TEMP, 90 degC, 2.62933182716
0111, THROTTLE_POS, 16.862745098 percent, 2.67933702469
0118, O2_B2S1, 0.86 volt, 2.72934889793
0119, O2_B2S2, 0.14 volt, 2.78136301041
010D, SPEED, 13 kph, 2.8293569088
011E, AUX_INPUT_STATUS, False, 2.87935686111
0106, SHORT_FUEL_TRIM_1, -2.34375 percent, 2.92936491966
0108, SHORT_FUEL_TRIM_2, -3.125 percent, 2.97936487198
010C, RPM, 1295.75 revolutions_per_minute, 3.02915501595
