010F, INTAKE_TEMP, 27 degC, 0.24910402298
010E, TIMING_ADVANCE, 17.5 degree, 0.499166965485
0109, LONG_FUEL_TRIM_2, 0.78125 percent, 0.771600961685
0107, LONG_FUEL_TRIM_1, 1.5625 percent, 0.87422990799
0110, MAF, 6.47 gps, 0.974061965942
0104, ENGINE_LOAD, 2.35294117647 percent, 1.09923386574
010B, INTAKE_PRESSURE, 33 kilopascal, 1.22405099869
0105, COOLANT_TEMP, 82 degC, 1.3492629528
0111, THROTTLE_POS, 6.66666666667 percent, 1.47423696518
0118, O2_B2S1, 0.925 volt, 1.60168385506
0119, O2_B2S2, 0.78 volt, 1.72440505028
010D, SPEED, 13 kph, 1.84938097
011E, AUX_INPUT_STATUS, False, 1.97415399551
0106, SHORT_FUEL_TRIM_1, -4.6875 percent, 2.09868192673
0108, SHORT_FUEL_TRIM_2, -6.25 percent, 2.19948387146
010C, RPM, 661.0 revolutions_per_minute, 2.29945397377
0115, O2_B1S2, 0.625 volt, 2.39934587479
0114, O2_B1S1, 0.905 volt, 2.49943804741
010F, INTAKE_TEMP, 27 degC, 2.5298500061
010E, TIMING_ADVANCE, 23.5 degree, 2.58682203293
0109, LONG_FUEL_TRIM_2, 0.78125 percent, 2.62967085838
0107, LONG_FUEL_TRIM_1, 1.5625 percent, 2.67980384827
0110, MAF, 10.43 gps, 2.72976899147
0104, ENGINE_LOAD, 3.92156862745 percent, 2.77982401848
010B, INTAKE_PRESSURE, 38 kilopascal, 2.8298740387
0105, COOLANT_TEMP, 83 degC, 2.88192296028
0111, THROTTLE_POS, 11.7647058824 percent, 2.93257188797
0118, O2_B2S1, 0.635 volt, 2.98384690285
0119, O2_B2S2, 0.73 volt, 3.03190803528
010D, SPEED, 15 kph, 3.08385491371
011E, AUX_INPUT_STATUS, False, 3.12990498543
0106, SHORT_FUEL_TRIM_1, -7.03125 percent, 3.18195104599
0108, SHORT_FUEL_TRIM_2, -2.34375 percent, 3.23174405098
010C, RPM, 1187.0 revolutions_per_minute, 3.27976202965
0115, O2_B1S2, 0.485 volt, 3.33790397644
0114, O2_B1S1, 0.045 volt, 3.37983489037
010F, INTAKE_TEMP, 27 degC, 3.4317548275
010E, TIMING_ADVANCE, 34.5 degree, 3.47989988327
0109, LONG_FUEL_TRIM_2, 4.6875 percent, 3.52986598015
0107, LONG_FUEL_TRIM_1, 3.125 percent, 3.57983803749
0110, MAF, 22.3 gps, 3.63182091713
0104, ENGINE_LOAD, 8.62745098039 percent, 3.67985081673
010B, INTAKE_PRESSURE, 42 kilopascal, 3.73000884056
0105, COOLANT_TEMP, 83 degC, 3.76165604591
0111, THROTTLE_POS, 17.2549019608 percent, 3.80688095093
0118, O2_B2S1, 0.065 volt, 3.85491704941
0119, O2_B2S2, 0.0 volt, 3.88381505013
010D, SPEED, 18 kph, 3.93191695213
011E, AUX_INPUT_STATUS, False, 3.97993397713
0106, SHORT_FUEL_TRIM_1, 3.90625 percent, 4.01085996628
